ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre,Capacity,Street,ProdCredits,Special,Organizer
69,Boeing-Boeing ,Revival,Play, Comedy,5,2008,1,2009,279.0,RP,10.0,Longacre ,1091,48,0,,Shubert 
70,Bonnie & Clyde ,Original,Musical, Drama,12,2011,12,2011,36.0,OM,25.0,Gerald Schoenfeld ,1079,45,25,,Shubert 
71,Born Yesterday ,Revival,Play, Comedy,4,2011,6,2011,73.0,RP,14.0,Cort ,1084,48,0,,Shubert 
72,Breakfast at Tiffany's ,Original,Play,,3,2013,4,2013,38.0,OP,15.0,Cort ,1084,48,6,,Shubert 
73,Bridge & Tunnel ,Original,Play, Solo,1,2006,8,2006,213.0,OP,1.0,Helen Hayes ,597,44,4,Solo,Second Stage 
74,Brief Encounter ,Original,Play, Drama,9,2010,1,2011,111.0,OP,9.0,Studio 54,1006,54,3,,Roundabout  
75,Bright Star ,Original,Musical,,3,2016,6,2016,109.0,OM,22.0,Cort ,1084,48,9,,Shubert 
76,Brighton Beach Memoirs,Revival,Play, Comedy,10,2009,11,2009,9.0,RP,12.0,Nederlander ,1235,41,19,,Nederlander 
77,Bring It On: The Musical ,Original,Musical, Comedy,8,2012,12,2012,171.0,OM,37.0,St. James ,1709,44,5,Box,Jujamcyn 
78,Bronx Bombers ,Original,Play,,2,2014,3,2014,29.0,OP,13.0,Circle in the Square ,840,50,10,,Independent
79,Bullets Over Broadway ,Original,Musical, Comedy,4,2014,8,2014,156.0,OM,31.0,St. James ,1709,44,1,,Jujamcyn 
80,Butley ,Revival,Play,,10,2006,1,2007,94.0,RP,12.0,Booth ,766,45,3,,Shubert 
81,Bye Bye Birdie ,Revival,Musical, Comedy,10,2009,1,2010,117.0,RM,37.0,Stephen Sondheim ,1055,43,5,,Roundabout  
82,Cabaret ,Revival,Musical, Drama,4,2014,3,2015,388.0,RM,23.0,Studio 54,1006,54,36,,Roundabout  
83,Casa Valentina ,Original,Play,,4,2014,6,2014,79.0,OP,14.0,Samuel J. Friedman ,650,47,12,,Manhattan  Club
84,Cat on a Hot Tin Roof  - Rev 4,Revival,Play, All Black Cast,3,2008,6,2008,125.0,RP,16.0,Broadhurst ,1186,44,33,,Shubert 
85,Cat on a Hot Tin Roof  - Rev 5,Revival,Play, Drama,1,2013,3,2013,84.0,RP,23.0,Richard Rodgers ,1400,46,34,,Nederlander 
86,Catch Me If You Can ,Original,Musical, Comedy,4,2011,9,2011,166.0,OM,31.0,Neil Simon ,1467,52,40,,Nederlander 
87,Cats ,Revival,Musical,,7,2016,12,2017,560.0,RM,34.0,Neil Simon ,1467,52,21,Kids,Nederlander 
88,Chaplin ,Original,Musical,,9,2012,1,2013,135.0,OM,24.0,Ethel Barrymore ,1096,47,8,,Shubert 
89,Charlie and the Chocolate Factory ,Original,Musical,,4,2017,1,2018,257.0,OM,36.0,Lunt-Fontanne ,1519,46,37,Kids,Nederlander 
90,Chicago ,Revival,Musical,,1,2003,NA,NA,8723.0,RM,23.0,Ambassador ,1125,49,38,,Shubert 
91,China Doll ,Original,Play,,12,2015,1,2016,54.0,OP,3.0,Gerald Schoenfeld ,1079,45,17,,Shubert 
92,Chinglish ,Original,Play, Comedy,10,2011,1,2012,109.0,OP,10.0,Longacre ,1091,48,9,,Shubert 
93,Chita Rivera: The Dancer's Life ,Original,Musical,,12,2005,2,2006,72.0,OM,14.0,Gerald Schoenfeld ,1079,45,12,,Shubert 
