ID,Show,O_R,M_P,Genre,OpenMonth,OpenYear,CloseMonth,CloseYear,Npreform,Coder,Cast_Size,Theatre,Capacity,Street,ProdCredits,Special,Organizer
420,The Price ,Revival,Play, Drama,3,2017,5,2017,69.0,RP,7.0,American Airlines ,740,42,0,,Roundabout  
421,The Producers ,Original,Musical, Comedy,4,2001,4,2007,2502.0,OM,27.0,St. James ,1709,44,32,,Jujamcyn 
422,The Real Thing ,Revival,Play, Drama,10,2014,1,2015,76.0,RP,11.0,American Airlines ,740,42,5,,Roundabout  
423,The Realistic Joneses ,Original,Play, Comedy,4,2014,7,2014,105.0,OP,6.0,Lyceum ,922,45,13,,Shubert 
424,The Ritz ,Revival,Play, Comedy,10,2007,12,2007,69.0,RP,24.0,Studio 54,1006,54,13,,Roundabout  
425,The River ,Original,Play, Drama,11,2014,2,2015,97.0,OP,5.0,Circle in the Square ,840,50,15,,Independent
426,The Road to Mecca ,Original,Play, Drama,1,2012,3,2012,56.0,OP,6.0,American Airlines ,740,42,4,,Roundabout  
427,The Royal Family ,Revival,Play, Comedy,10,2009,12,2009,77.0,RP,17.0,Samuel J. Friedman ,650,47,12,,Manhattan  Club
428,The Scottsboro Boys ,Original,Musical, Drama,10,2010,12,2010,49.0,OM,17.0,Lyceum ,922,45,10,,Shubert 
429,The Seafarer ,Original,Play,,12,2007,3,2008,133.0,OP,7.0,Booth ,766,45,7,,Shubert 
430,The Seagull ,Revival,Play, Comedy,10,2008,12,2008,94.0,RP,17.0,Walter Kerr ,945,48,2,,Jujamcyn 
431,The Snow Geese ,Original,Play, Drama,10,2013,12,2013,60.0,OP,11.0,Samuel J. Friedman ,650,47,11,,Manhattan  Club
432,The Story of My Life ,Original,Musical,,2,2009,2,2009,5.0,OM,6.0,Booth ,766,45,2,,Shubert 
433,The Terms of My Surrender ,Original,Play, Solo,8,2017,10,2017,83.0,OP,5.0,Belasco ,1018,44,16,Solo,Shubert 
434,The Testament of Mary ,Original,Play, Drama,4,2013,5,2013,16.0,OP,1.0,Walter Kerr ,945,48,23,,Jujamcyn 
435,The Threepenny Opera ,Revival,Musical, Operetta,4,2006,6,2006,77.0,RM,22.0,Studio 54,1006,54,4,,Roundabout  
436,The Times They Are A-Changin' ,Original,Musical, Dance,10,2006,11,2006,28.0,OM,19.0,Brooks Atkinson ,1094,47,14,,Nederlander 
437,The Trip to Bountiful ,Revival,Play,,4,2013,10,2013,187.0,RP,14.0,Stephen Sondheim ,1055,43,8,,Roundabout  
438,The Velocity of Autumn ,Original,Play, Comedy,4,2014,5,2014,16.0,OP,4.0,Booth ,766,45,6,,Shubert 
439,The Vertical Hour ,Original,Play,,11,2006,3,2007,117.0,OP,9.0,Music Box ,1009,45,7,,Shubert 
440,The Visit ,Original,Musical, Drama,4,2015,6,2015,61.0,OM,20.0,Lyceum ,922,45,19,,Shubert 
441,The Wedding Singer ,Original,Musical, Comedy,4,2006,12,2006,285.0,OM,28.0,Al Hirschfeld ,1424,45,6,Box,Jujamcyn 
442,The Winslow Boy ,Revival,Play,,10,2013,12,2013,53.0,RP,15.0,American Airlines ,740,42,6,,Roundabout  
443,The Woman in White ,Original,Musical, Drama,11,2005,2,2006,109.0,OM,24.0,Marquis ,1612,46,0,,Nederlander 
444,The Year of Magical Thinking ,Original,Play,,3,2007,8,2007,144.0,OP,2.0,Booth ,766,45,10,,Shubert 
445,Therese Raquin    ,Original,Play, Drama,10,2015,1,2016,75.0,OP,11.0,Studio 54,1006,54,7,,Roundabout  
446,This Is Our Youth ,Original,Play, Comedy,9,2014,1,2015,133.0,OP,5.0,Cort ,1084,48,7,,Shubert 
447,Three Days of Rain ,Original,Play, Drama,4,2006,6,2006,70.0,OP,5.0,Bernard B. Jacobs ,1078,45,37,,Shubert 
448,Thurgood ,Original,Play, Drama,4,2008,8,2008,126.0,OP,1.0,Booth ,766,45,11,,Shubert 
449,Time and the Conways ,Revival,Play, Play with music,10,2017,11,2017,56.0,RP,15.0,American Airlines ,740,42,18,,Roundabout  
450,Time Stands Still ,Original,Play, Drama,1,2010,1,2011,193.0,OP,6.0,Cort ,1084,48,1,,Shubert 
451,To Be Or Not To Be ,Original,Play,,10,2008,11,2008,40.0,OP,16.0,Samuel J. Friedman ,650,47,0,Shakespeare,Manhattan  Club
452,Top Girls ,Original,Play,,5,2008,6,2008,63.0,OP,10.0,Samuel J. Friedman ,650,47,22,,Manhattan  Club
453,Translations ,Revival,Play,,1,2007,3,2007,53.0,RP,13.0,Samuel J. Friedman ,650,47,18,,Manhattan  Club
454,Tuck Everlasting ,Original,Musical,,4,2016,5,2016,39.0,OM,29.0,Broadhurst ,1186,44,22,,Shubert 
455,Twelfth Night and Richard III ,Revival,Play, All Male Cast,11,2013,2,2014,82.0,RP,16.0,Belasco ,1018,44,26,,Shubert 
456,Vanya and Sonia and Masha and Spike ,Original,Play, Comedy,3,2013,8,2013,189.0,OP,10.0,John Golden ,805,45,12,,Shubert 
457,Venus in Fur ,Original,Play, Drama,11,2011,6,2012,191.0,OP,4.0,Lyceum ,922,45,6,,Shubert 
458,Violet ,Original,Musical, Drama,4,2014,8,2014,128.0,OM,16.0,American Airlines ,740,42,15,,Roundabout  
459,Waiting for Godot ,Revival,Play,,4,2009,7,2009,84.0,RP,8.0,Studio 54,1006,54,11,,Roundabout  
460,Waitress ,Original,Musical,,4,2016,NA,NA,649.0,OM,20.0,Brooks Atkinson ,1094,47,33,Box,Nederlander 
461,War Horse ,Original,Play, Drama,4,2011,1,2013,718.0,OP,35.0,Vivian Beaumont,1080,65,19,,Lincoln Center 
462,War Paint ,Original,Musical,,4,2017,11,2017,236.0,OM,20.0,Nederlander ,1235,41,5,,Nederlander 
463,Well ,Original,Play, Comedy,3,2006,5,2006,52.0,OP,11.0,Longacre ,1091,48,12,,Shubert 
464,West Side Story ,Revival,Musical, Drama,3,2009,1,2011,748.0,RM,46.0,Palace ,1743,47,40,,Nederlander 
465,Who's Afraid of Virginia Woolf? ,Revival,Play, Drama,10,2012,3,2013,142.0,RP,8.0,Booth ,766,45,10,,Shubert 
466,Wicked ,Original,Musical,,10,2003,NA,NA,5859.0,OM,33.0,Gershwin ,1933,51,38,,Nederlander 
467,Wishful Drinking ,Original,Play, Solo,10,2009,1,2010,118.0,OP,1.0,Studio 54,1006,54,10,Solo,Roundabout  
468,Wit ,Original,Play, Drama,1,2012,3,2012,60.0,OP,12.0,Samuel J. Friedman ,650,47,12,,Manhattan  Club
469,"Wolf Hall, Parts One & Two ",Original,Play,,4,2015,7,2015,53.0,OP,23.0,Winter Garden ,1526,50,1,,Shubert 
470,Women on the Verge of a Nervous Breakdown ,Original,Musical,,11,2010,1,2011,69.0,OM,25.0,Belasco ,1018,44,6,,Shubert 
471,Wonderland: A New Alice. A New Musical Adventure. ,Original,Musical, Fantasy,4,2011,5,2011,33.0,OM,27.0,Marquis ,1612,46,14,,Nederlander 
472,Xanadu ,Original,Musical, Fantasy,7,2007,9,2008,512.0,OM,14.0,Helen Hayes ,597,44,2,,Second Stage 
473,You Can't Take It With You ,Revival,Play, Comedy,9,2014,2,2015,169.0,RP,23.0,Longacre ,1091,48,16,,Shubert 
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
